"id","wing","wing_title","artifact_title","location","description"
"egypt-001","egypt","جناح مصر القديمة","هرم خوفو الأكبر","هضبة الجيزة","أحد عجائب الدنيا السبع القديمة الوحيد الباقي. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-002","egypt","جناح مصر القديمة","هرم خفرع","هضبة الجيزة","ثاني أهرامات الجيزة ارتفاعاً. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-003","egypt","جناح مصر القديمة","هرم منقرع","هضبة الجيزة","أصغر أهرامات الجيزة الثلاثة الكبرى. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-004","egypt","جناح مصر القديمة","تمثال أبو الهول","هضبة الجيزة","تمثال ضخم بجسد أسد ورأس ملك. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-005","egypt","جناح مصر القديمة","هرم زوسر المدرج","سقارة","أقدم بناء حجري ضخم في التاريخ. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-006","egypt","جناح مصر القديمة","الهرم المنحني","دهشور","يتميز بتغير زاوية ميله في منتصف ارتفاعه. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-007","egypt","جناح مصر القديمة","الهرم الأحمر","دهشور","أول هرم مصري كامل الاستواء الهندسي. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-008","egypt","جناح مصر القديمة","معبد الكرنك","الأقصر","أكبر مجمع معابد ديني في العالم القديم. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-009","egypt","جناح مصر القديمة","معبد الأقصر","الأقصر","مخصص لتجديد قوى الملكية خلال عيد الأوبت. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-010","egypt","جناح مصر القديمة","معبد أبو سمبل الكبير","أسوان","نُحت بالكامل داخل الجبل بأمر رمسيس الثاني. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-011","egypt","جناح مصر القديمة","معبد أبو سمبل الصغير","أسوان","أهداه رمسيس الثاني لزوجته الملكة نفرتاري. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
"egypt-012","egypt","جناح مصر القديمة","معبد فيلة","أسوان","معبد الإلهة إيزيس المهيب على جزيرة النيل. تعكس هذه القطعة مدى تطور الحرف والفنون في عصر ازدهار الحضارة المصرية."
"egypt-013","egypt","جناح مصر القديمة","معبد إدفو","إدفو","أفضل المعابد المصرية حفظاً، مخصص للإله حورس. تعرض هذه القطعة في المتحف كنموذج حي على عبقرية الفنان والمهندس المصري القديم."
"egypt-014","egypt","جناح مصر القديمة","معبد كوم أمبو","أسوان","معبد مزدوج للإلهين سوبك وحورس. تكشف هذه القطعة عن دقة الحرفي المصري القديم وحسّه الجمالي الرفيع."
"egypt-015","egypt","جناح مصر القديمة","معبد دندرة","قنا","مخصص للإلهة حتحور وسقفه الفلكي الشهير. تنقل هذه القطعة زائر المتحف إلى أجواء الحياة الدينية والملكية في مصر القديمة."
"egypt-016","egypt","جناح مصر القديمة","معبد أبيدوس","سوهاج","يضم قائمة أبيدوس الملكية النادرة. تروي هذه القطعة جانبًا من عبقرية الإنسان المصري في الهندسة والفنون."
"egypt-017","egypt","جناح مصر القديمة","معبد حتشبسوت بالدير البحري","الأقصر الغربية","معبد جنائزي مدرج فريد التصميم. تجسّد هذه القطعة مهارة الصانع المصري القديم وارتباطه الوثيق بالعقيدة الدينية."
